Id,公司名,HR邮箱,地址,规模,类型,领域,公司全称,网址,详细地址,信息
12,TspHoldingsLimited,zhaopin@shimaogroup.com hello@appchina.com,北京市,,,,TspHoldingsLimited,,,TspHoldingsLimited
13,南京夏普电子有限公司,如发现侵权违规问题请发邮件至2697327695@qq.com hbfffff@163.com qiu.hua@nsec.sharp-world.com tang.yuping@nsec.sharp tang.yuping@nsec.sharp-world.com wang.jian2785@nsec.sharp-world.com,南京市,,,,南京夏普电子有限公司,,,南京夏普电子有限公司
14,乐视影业,support@letv.com zhaopin@letvpicture.com levpintern@letvpicture.com lesdsadahi@qq.com zhengshuangyin@letvpicture.com zhengshuangyin@le.com 360baike@360.cn IP@youxituoluo.com,北京市,,,,乐视影业,,,乐视影业
15,Netconcepts,info@netconcepts.cn liomeng@netconcepts.cn HR@netconcepts.cn i黑马原创。如需转载请联系邮箱hm@chuangyejia.com wi@netconcepts.cn fin@netconcepts.cn seo_ranking@netconcepts.cn imm@buaa.edu.cn cadysun@dmgevents.com,北京市,,,,Netconcepts,,,Netconcepts
16,7k7k游戏,kf@7k7k.com tousu@7k7k.com kefu@7k7k.com,北京市,,,,7k7k游戏,,,7k7k游戏
17,英伟力新能源科技有限公司,,上海市,,,,英伟力新能源科技有限公司,,,英伟力新能源科技有限公司
18,广州诺特软件开发有限公司,GZHR@xogrp.com Service@cjol.com kyao@xogrp.com,广州市,50-150人,外企,互联网,广州诺特软件开发有限公司,http://www.tkcnsoft.com,广州市越秀区天河路45号天伦大厦903室,广州诺特软件开发有限公司http://www.tkcnsoft.com广州市越秀区天河路45号天伦大厦903室
19,木泉信息,474912689@qq.com zk@adhg.com.cn sdnykx@sina.com sdnykx@saas.ac.cn zhaojing0628@gmail.com,上海市,,,,木泉信息,,,木泉信息
20,聚涟商务信息咨询上海有限公司,有意者请将您过去的作品或者网站链接另外发送至邮箱shanghai@julian.se shanghai@julian.se 有意者请将您过去的作品或者网站链接另外发送至邮箱shanghai-designer@julian.se,上海市,,,,聚涟商务信息咨询上海有限公司,,,聚涟商务信息咨询上海有限公司
21,矩阵互动,job@juzhen.com 邮箱是476207918@qq.com,武汉市,50-150人,私企,互联网,矩阵互动,http://www.juzhen.com,江汉区青年路花园道写字楼515,矩阵互动http://www.juzhen.com江汉区青年路花园道写字楼515
22,上海谊荟广告公司,,上海市,,,,上海谊荟广告公司,,,上海谊荟广告公司
23,艾欧史密斯热水器有限公司,如发现侵权违规问题请发邮件至2697327695@qq.com lpf8109@126.com aoshr@aosmith.com.cn liyanhong@hotwater.com.cn emuchnet@foxmail.com haoyu@hotwater.com.cn yuzheng@hotwater.com.cn 学校+姓名+专业+课题发送至liyanhong@hotwater.com.cn service@makepolo.com,南京市,,,,艾欧史密斯热水器有限公司,,,艾欧史密斯热水器有限公司
24,学而思乐加乐进修学校,shhrjiaoshi@100tal.com,南京市,,,,学而思乐加乐进修学校,,,学而思乐加乐进修学校
25,帆软软件,business@finereport.com support@finereport.com complain@finereport.com fanruan@126.com iris@finereport.com hr@finereport.com 1745114201@qq.com service@fdiworldexpo.com,无锡市,150-500人,私企,互联网,帆软软件,http://www.finereport.com,无锡市南长区世金中心11楼,帆软软件http://www.finereport.com无锡市南长区世金中心11楼
27,春耕文化艺术交流有限公司,ztyhys@tom.com 2750009199@qq.com 656915001@qq.com 我646437905@qq.com 71736133@qq.com 2903817073@qq.com www.qixiangtime@163.com credit.business@service.alibaba.com 2426567168@qq.com 839943036@qq.com 704293550@qq.com 1257529997@qq.com echzwh@163.com 即将www.yangwanmin69876@163.com 变为www.444208501@qq.com sdlfry@163.com js_gymbaby@163.com szwy158@126.com chenyanfeng@sz000673.com ttqikan@163.com wysxwxd@163.com lyong62@163.com viyaxie@zero2ipo.com.cn,上海市,,,,春耕文化艺术交流有限公司,,,春耕文化艺术交流有限公司
30,腾讯大苏网社区中心,jiangsuzhan@qq.com qtxtv@163.com 592536978@qq.com v_zmzmzhu@tencent.com,南京市,,,,腾讯大苏网社区中心,,,腾讯大苏网社区中心
31,西班牙杜凯股份有限公司,62183131@hotmail.com yxszhw@hotmail.com 61361417@hotmail.com 我的邮箱是1144513211@qq.com 693902560@qq.com 964292989@qq.com,上海市,,,,西班牙杜凯股份有限公司,,,西班牙杜凯股份有限公司
32,南京云帕信息技术有限公司,center@yinspect.com 800111004@b.qq.com 7811505@qq.com hr@etouch.cn ganyigui@126.com suishenyun@etouch.cn Jobs@tyzong.com,南京市,,,,南京云帕信息技术有限公司,,,南京云帕信息技术有限公司
33,南京叠锶信息技术有限公司,,南京市,,,,南京叠锶信息技术有限公司,,,南京叠锶信息技术有限公司
34,ConsultingFirm,wlwh@vip.sina.com,北京市,,,,ConsultingFirm,,,ConsultingFirm
37,Gameloft,onlinegames.support@gameloft.com 284767143@qq.com,深圳市,,,,Gameloft,,,Gameloft
38,深圳市三结易电子商务有限公司,1571945186@qq.com,深圳市,,,,深圳市三结易电子商务有限公司,,,深圳市三结易电子商务有限公司
40,爱尚鲜花,iishang@163.com 1377636986@qq.com,上海市,,,,爱尚鲜花,,,爱尚鲜花
48,恩波教育集团,3259605635@qq.com enbobook@126.com,南京市,,,,恩波教育集团,,,恩波教育集团
49,机锋网,格式为QQ号@qq.com gm@gfan.com appsales@gfan.com hezuo@gfan.com,北京市,,,,机锋网,,,机锋网
56,昆山市幻方网络有限公司,ir@angelclub.com,苏州市,,,,昆山市幻方网络有限公司,,,昆山市幻方网络有限公司
57,上海众原房地产投资顾问有限公司,hyf865mn@126.com qiaosonglin2013@163.com 1941264368@qq.com 343601668@qq.com,上海市,,,,上海众原房地产投资顾问有限公司,,,上海众原房地产投资顾问有限公司
59,水滴在线,service@shuidicloud.com chenqiming@jfenz.com 360jia@360.cn,北京市,,,,水滴在线,,,水滴在线
61,恺英网络,marketing@kingnet.com wlyxjb@gmail.com xytousu@kingnet.com campus@kingnet.com info@kingnet.com xin.li@jrj.com.cn zhangjf@kai-ying.com xulei@touchrom.com chengqi@ce.cn wenhua@ce.cn op@choudao.com liyang@kingnet.com,上海市,500-2000人,私企,互联网,上海恺英网络科技有限公司,http://www.xy.com/,上海市闵行区陈行路2388号浦江高科技广场3号楼3楼,上海恺英网络科技有限公司http://www.xy.com/上海市闵行区陈行路2388号浦江高科技广场3号楼3楼
66,上海华印文化传播有限公司,cynthialh1007@163.com tousu@genshuixue.com lisali@a1b2b.com,上海市,,,,上海华印文化传播有限公司,,,上海华印文化传播有限公司
72,北京奇虎科技有限公司,service@makepolo.com zj360net@163.com fk@360.cn gongshangpaizhao@sina.com lianglili@360.cn huyangkang@sound-power.cn service@codesafe.cn shixunbu@cainiaoketang.com viyaxie@zero2ipo.com.cn service@comisys.net huangyuxin-so@360.cn service-info@cogobuy.com 1001@ename.com cw@ename.com,北京市,,,,北京奇虎科技有限公司,,,北京奇虎科技有限公司
73,卓越创达,info@bjzdsj.com.cn yzw@xcddz-ic.com job@aduni.cn zhenghui@aduni.cn fudl@nccd.com.cn hr@pemcc.com jiaodian800@163.com chuangda2002@aliyun.com sales@insaas.com kf@insaas.com biz@thundersoft.com,北京市,,,,卓越创达,,,卓越创达
74,票集网,mail@kaixintou.cn viyaxie@zero2ipo.com.cn,广州市,,,,票集网,,,票集网
84,第六空间,853393958@qq.com 490229025@qq.commall.wtoip.com,杭州市,,,,第六空间,,,第六空间
89,上海乔布堂信息科技有限公司,viyaxie@zero2ipo.com.cn,上海市,,,,上海乔布堂信息科技有限公司,,,上海乔布堂信息科技有限公司
91,杭州谷登文化创意有限公司,jbweng@gdeng.cn gudeng@gudeng168.comm gddy@sh-gddy.com,杭州市,,,,杭州谷登文化创意有限公司,,,杭州谷登文化创意有限公司
92,亚信联创科技有限公司,zbonxp@139.com,南京市,,,,亚信联创科技有限公司,,,亚信联创科技有限公司
93,索迪斯上海管理服务有限公司,recruit.sha@sodexho-cn.com 如发现侵权违规问题请发邮件至2697327695@qq.com tracy.zhou@sodexo.com,南京市,,,,索迪斯上海管理服务有限公司,,,索迪斯上海管理服务有限公司
94,南京莱斯信息技术股份有限公司,fan_cy@les.cn 1_njleshr@sina.com 780072228@qq.com leshr@les.cn,南京市,,,,南京莱斯信息技术股份有限公司,,,南京莱斯信息技术股份有限公司
96,博拉网络,TOUSU@BOLAA.COM hr@bolaa.com wangbo@bolaa.com nini.ma@bolaa.com cqwx2013@126.com pzgyyq@163.com syc312@163.com kf@vip.sohu.com 8236@qq.com doright_hr@163.com 123@umohckb.com contact@juhangye.com 123@tgolujp.com 123@sfswytu.com 123@proligq.com lijia@scfund.com.cn,上海市,,,,博拉网络,,,博拉网络
98,红科国际,changleijia@hongkee.com.cn hr@hongkee.com 如发现侵权违规问题请发邮件至2697327695@qq.com hr@hongkee.com.cn xinlanli@hongkee.com.cn kefu@tousu.org.cn Service@cjol.com ahodchr@126.com 123@xpojzow.com,北京市,,,,红科国际,,,红科国际
100,深圳市苍茂科技有限公司,service@makepolo.com tina.du@vojotech.com 2355499153@qq.com limin@charmtec.com,上海市,,,,深圳市苍茂科技有限公司,,,深圳市苍茂科技有限公司
104,江苏中谱检测有限公司,sinography@163.com robin.xiao@sinogra.com wenjuan.jin@sinogra.com jsst.hr@sinogra.com hap@hap-test.com electrode@126.com zcmi@zcmi.com.cn george_zzhzhu@126.com jastina.yuan@hap-test.com,南京市,,,,江苏中谱检测有限公司,,,江苏中谱检测有限公司
113,北京卓易讯畅科技有限公司,wangxuhong@wandoujia.com xuzihui@wandoujia.com,北京市,B轮,150-500人,私企,北京卓易讯畅科技有限公司,,,北京卓易讯畅科技有限公司
119,乐蜂网,mmservice@Lenovo.com news@netsun.com ceo@jumei.com service@lafaso.com ext_app_qual@baidu.com,北京市,,,,乐蜂网,,,乐蜂网
121,北京漂网科技发展有限公司,1971736835@qq.com,北京市,,,,北京漂网科技发展有限公司,,,北京漂网科技发展有限公司
122,威廉的太妃糖酒店,,杭州市,,,,威廉的太妃糖酒店,,,威廉的太妃糖酒店
132,杭州元唐网络科技有限公司,job@ytbxw.com,杭州市,,,,杭州元唐网络科技有限公司,,,杭州元唐网络科技有限公司
141,南京腾房传媒发展有限公司,1337656103@qq.com dasu.jsz.2013@qq.com dm@kingnet.com zdjun@263.net ma-zhansheng@263.net,南京市,,,,南京腾房传媒发展有限公司,,,南京腾房传媒发展有限公司
142,ivtime,,北京市,15-50人,私企,互联网,北京爱唯光石信息技术有限公司,http://www.ivtime.com,,北京爱唯光石信息技术有限公司http://www.ivtime.com
154,杭州先驱海洋科技开发有限公司,,杭州市,,,,杭州先驱海洋科技开发有限公司,,,杭州先驱海洋科技开发有限公司
156,江苏东禾影业,sugersyr@163.com yc_jinjian@163.com wlwh@vip.sina.com hai@oeofo.com 123@evjctjv.com,南京市,15人以下,私企,互联网,江苏东禾影业,http://weibo.com/donghefilm,江宁区诚信大道康平街1号景枫智慧产业园17栋,江苏东禾影业http://weibo.com/donghefilm江宁区诚信大道康平街1号景枫智慧产业园17栋
163,杭州天迈网络有限公司,wangjingjing@teemax.com 1771684758@qq.com,杭州市,15人以下,私企,互联网,杭州天迈网络有限公司,http://ppp120120.b2bvip.com/,杭州上城区紫金观巷26号601,杭州天迈网络有限公司http://ppp120120.b2bvip.com/杭州上城区紫金观巷26号601
164,北京传诚科技有限公司,,北京市,,,,北京传诚科技有限公司,,,北京传诚科技有限公司
171,风云再起动漫娱乐有限公司,hr@fyzq.com.cn fyzqrs@163.com 136631344@qq.com,南京市,,,,风云再起动漫娱乐有限公司,,,风云再起动漫娱乐有限公司
175,上海容基南京分公司,1302377881@qq.com qhrjxmb@163.com shrj@shrjhb.cn rjpm021@163.com rjgs1@163.com qhrj8080@126.com qhrj8382@126.com 1402369697@qq.com,南京市,,,,上海容基南京分公司,,,上海容基南京分公司
177,LONbrand朗意,lonbrand@126.com,上海市,,,,LONbrand朗意,,,LONbrand朗意
178,住哪网,union@zhuna.cn ir@angelclub.com,郑州市,,,,住哪网,,,住哪网
183,酷家乐,,杭州市,B轮,50-150人,私企,杭州群核信息技术有限公司,http://www.kujiale.com/,西湖区西斗门路3号,杭州群核信息技术有限公司http://www.kujiale.com/西湖区西斗门路3号
185,南京金娃娃软件科技有限公司,,南京市,,,,南京金娃娃软件科技有限公司,,,南京金娃娃软件科技有限公司
189,新大业智业投资管理有限公司,tianyuanhr@tianyuandujia.com,南京市,,,,新大业智业投资管理有限公司,,,新大业智业投资管理有限公司
208,划动时代,bfhxjk@yahoo.cn info@twirlingvr.com 14.《儿童时代》编辑部邮箱caoy@cwi.org.cn thsd@vip.sina.com contact@arome-garden.com gina.zhang@arome-garden.com my.dummy@qq.com 《时代文学》文史哲论文weiyanli77@126.COM yc_jinjian@163.com emuchnet@foxmail.com lillian@rongmedia.com 评价为您推荐：三色坊山鬼三色坊天女嫁三色坊全集滥情滴s时代135时代网|为青春划上等号@163.com 2794796434@QQ.com ddcv_668@126.com tousu@genshuixue.com 评价@163.com,北京市,angel轮,15-50人,私企,北京划动时代科技有限公司,http://www.flickera.cn,海淀区海淀大街3号鼎好大厦A座写字楼1922,北京划动时代科技有限公司http://www.flickera.cn海淀区海淀大街3号鼎好大厦A座写字楼1922
209,杭州弦音信息科技有限公司,ir@angelclub.com,杭州市,,,,杭州弦音信息科技有限公司,,,杭州弦音信息科技有限公司
217,课程格子,kefu@kechengegzi.comzhidao.baidu.com vdisk@sina.cn,北京市,A轮,50-150人,中外合资,北京亿维科睿科技有限公司,http://www.kechenggezi.com,东城区东直门,北京亿维科睿科技有限公司http://www.kechenggezi.com东城区东直门
220,小米科技有限责任公司上海分公司,感兴趣的同学请把你的简历发到我的邮箱452626737@qq.com webmaster@tvoao.com service@fdiworldexpo.com Service@cjol.com li.chen@xiaomi.com 感兴趣的同学请把你的简历发到我的邮箱XM_HR021@qq.com mandiaiwovip@163.com,上海市,,,,小米科技有限责任公司上海分公司,,,小米科技有限责任公司上海分公司
223,南京朗坤软件有限公司,HR2016@luculent.net 如发现侵权违规问题请发邮件至2697327695@qq.com jyb@nuist.edu.cn hr@luculent.net gexb@luculent.net,南京市,,,,南京朗坤软件有限公司,,,南京朗坤软件有限公司
228,SIA艺术工作室,kf@vip.sohu,北京市,,,,SIA艺术工作室,,,SIA艺术工作室
230,环球外汇cnforex,,上海市,15-50人,私企,互联网,上海鲸高投资管理有限公司,http://www.cnforex.com,上海市闸北区近1号线汶水路地铁站,上海鲸高投资管理有限公司http://www.cnforex.com上海市闸北区近1号线汶水路地铁站
231,钱江报刊发行有限公司,请发申请邮件及相关证明到edit@51sole.com 如发现侵权违规问题请发邮件至2697327695@qq.com,杭州市,,,,钱江报刊发行有限公司,,,钱江报刊发行有限公司
234,南京浩孚特信息科技有限公司,,南京市,,,,南京浩孚特信息科技有限公司,,,南京浩孚特信息科技有限公司
236,宜人画廊,《沈阳晚报》情爱画廊wlc575@email.syd.com.cn 宜人茶室xky@qingdaonews.com zhnian@nfcmag.com wlc575@email.syd.com.cn xky@qingdaonews.com gww@qingdaonews.com 评价为您推荐：适合新手投稿的杂志社武汉晚报投稿邮箱南京日报投稿邮箱54投稿邮箱《沈阳晚报》情爱画廊wlc575@email.syd.com.cn 城市广角nili@qingdaonews.com 观点/美文gww@qingdaonews.com xrdnkj@vip.qq.com info@peopledaily.com.cn service@makepolo.com 139条评价《沈阳晚报》情爱画廊wlc575@email.syd.com.cn,杭州市,,,,宜人画廊,,,宜人画廊
247,人民网,kf@people.cn chuanmei@people.cn,北京市,,,,人民网,,,人民网
259,阿芙,vgdfse@163.com vcsdqw@163.com afujingyous@163.com 联系邮箱xiuqiu@365pp.com service@makepolo.com 邮箱daniela.w@foxmail.com 邮箱196750139@qq.com 360baike@360.cn 百度快照afu@esi-group.com kf@vip.sohu.com 545769244@qq.com Chinaseo2011@sina.com news@netsun.com 总裁邮箱ceo@jumei.com 2572413809@qq.com 百度快照为您推荐：阿芙精油曝光私处紧致从面相上看玻璃水抽脂双眼皮AFU阿芙精油招聘人事专员--工作环境是你意向不到的!~不好意思!~没有~~gaolin@afuvip.com 已重发gaolin@afuvip.com viyaxie@zero2ipo.com.cn linxi@365pp.com 2530条评价为您推荐：阿芙精油导购工资高吗化妆品导购面试技巧化妆品导购有前途吗联系邮箱xiuqiu@365pp.com 2530条评价不好意思!~没有~~gaolin@afuvip.com,北京市,150-500人,私企,电子商务,北京漂网科技发展有限公司,http://www.365pp.com,北京市朝阳区酒仙桥北路7号,北京漂网科技发展有限公司http://www.365pp.com北京市朝阳区酒仙桥北路7号
260,Bri体验科技,vdisk@sina.cn,北京市,,,,Bri体验科技,,,Bri体验科技
265,形色创意,varioushr@gmail.com,南京市,,,,形色创意,,,形色创意
269,浙江盘石信息技术有限公司,wangdanying@adpanshi.com machi@adpanshi.com zimuhuizhi22@sina.com lemoa@sina.com lyqeen@qq.com wangjialu@adpanshi.com xzhr@adpanshi.com chpanshi@foxmail.com gaohongzhu@adpanshi.com ltg@szfw.org viyaxie@zero2ipo.com.cn tzpanshi2@sina.com gcah1205@163.com 1220337071@qq.com cazhaop@163.com sdwebcn@163.com,杭州市,,,,浙江盘石信息技术有限公司,,,浙江盘石信息技术有限公司
271,江苏舜天豪舰贸易有限公司,52876350@hotmail.com,南京市,,,,江苏舜天豪舰贸易有限公司,,,江苏舜天豪舰贸易有限公司
272,新浪微博江苏运营中心南京灵动信息,,南京市,,,,新浪微博江苏运营中心南京灵动信息,,,新浪微博江苏运营中心南京灵动信息
276,北京睿博盛嘉文化传播有限公司,ruiboshengjia@sina.cn shirley@iqair-china.com,北京市,,,,北京睿博盛嘉文化传播有限公司,,,北京睿博盛嘉文化传播有限公司
277,杭州弈天网络技术有限公司,,杭州市,,,,杭州弈天网络技术有限公司,,,杭州弈天网络技术有限公司
289,油联石化,hr@ylsh.com,北京市,50-150人,私企,互联网,油联石化,http://www.ylsh.com,北京市朝阳区霄云路鹏润大厦1701,油联石化http://www.ylsh.com北京市朝阳区霄云路鹏润大厦1701
294,淘在路上,kf@117go.com 可以随时发送邮件至唯一指定邮箱yonghu@117go.com,上海市,C轮,150-500人,私企,上海雀沃信息技术有限公司,http://www.117go.com,上海市闵行区田林路1036号科技绿洲三期四-2号楼1层,上海雀沃信息技术有限公司http://www.117go.com上海市闵行区田林路1036号科技绿洲三期四-2号楼1层
301,上海有彭商务咨询有限公司,,上海市,,,,上海有彭商务咨询有限公司,,,上海有彭商务咨询有限公司
302,上海揆志网络科技有限公司,snssem@qq.com cv@yun.io hr@pisx.com hr@boe.com.cn,上海市,,,,上海揆志网络科技有限公司,,,上海揆志网络科技有限公司
308,网易新闻客户端,wanfengchuye@163.com research@sootoo.com newsappservice@163.com 有意联系我邮箱i@fanchengb.in jubao@contact.sohu.com ymcool2015@qq.com,北京市,,,,网易新闻客户端,,,网易新闻客户端
310,世界邦旅行网,davidran@shijiebang.net,北京市,B轮,150-500人,外企,世界邦旅行网,http://www.shijiebang.com,朝阳区太阳宫冠城大厦,世界邦旅行网http://www.shijiebang.com朝阳区太阳宫冠城大厦
314,杭州思搜网络科技有限公司,83498576@qq.com,杭州市,,,,杭州思搜网络科技有限公司,,,杭州思搜网络科技有限公司
319,杭州雷讯网络技术有限公司,hr@taofen8.com xiahui@taofen8.com shenjie@taofen8.com zoetu@zero2ipo.com.cn,杭州市,,,,杭州雷讯网络技术有限公司,,,杭州雷讯网络技术有限公司
320,江苏幸福蓝海影院发展有限责任公司,hr@omnijoi.com 551967916@qq.com chenjie@jocite.com wlwh@vip.sina.com,南京市,,,,江苏幸福蓝海影院发展有限责任公司,,,江苏幸福蓝海影院发展有限责任公司
325,天平汽车保险股份有限公司,callcenter_hr@tpaic.com tianpingzp@126.com Jiufu@leshui365.com,上海市,,,,天平汽车保险股份有限公司,,,天平汽车保险股份有限公司
330,香港汉纳欧洲名牌专门店,51@3hk.cn hannahhr@sina.com wlwh@vip.sina.com,杭州市,,,,香港汉纳欧洲名牌专门店,,,香港汉纳欧洲名牌专门店
333,邀游客,81083097@qq.com 欢迎拨打未来网新闻热线010-57380537或发送新闻线索至邮箱wlwnews@163.com jsxww110@126.com 3311928397@qq.com,杭州市,,,,邀游客,,,邀游客
342,野糖网,qiaoyu.xu@yetang.com,北京市,A轮,50-150人,私企,北京野糖信息技术有限公司,http://www.yetang.com,北京朝阳区霞光里8号承冀诚大厦三层8319室,北京野糖信息技术有限公司http://www.yetang.com北京朝阳区霞光里8号承冀诚大厦三层8319室
354,北京大学出版社,webmaster@pku.edu.cn cbsbgs@ouc.edu.cn jameschg@ms6.hinet.net webmaster@tjrm.com.cn bjdxcb@126.com pupzhaopin@163.com xdefeng@gmail.com liushidebing123@sina.com qianchuaner@sina.com zhyy666@163.com beidayuyan@126.com emuchnet@foxmail.com im2014@pku.edu.cn j662211@163.com office@coe.pku.edu.cn zengyi@nsd.pku.edu.cn stlrcpku@163.com kjyfl_bj@126.com 582326016@qq.com ipforum@126.com 邮箱553951942@qq.com,杭州市,,,,北京大学出版社,,,北京大学出版社
359,金吉列留学官网,,北京市,,,,金吉列留学官网,,,金吉列留学官网
361,泡否科技,,北京市,15人以下,私企,互联网,泡否科技,http://weibo.com/mageek,三里屯Soho商场3 B1 301,泡否科技http://weibo.com/mageek三里屯Soho商场3 B1 301
368,意中人文化创意中心,frankz@mcmgroup.com 799067651@qq.com kehufuwu@baicheng.com gxwcds@163.com jsjzsg@163.com zhang515038903@sina.com qqhjarvawpAGEP@58.com shcci@eastday.com mark1885@163.co jryg@jryg.cc jiang.xingwang@163.com 450864538@qq.com fuxixuan@ceaie.edu.cn msc@zgwcsj.com liweina@ccpitbj.org yangyu@ccpitbj.org qddxjob@163.com hbcyclub@126.com 简历可发至邮箱2049cy@sina.cn sunxingrui@ccitimes.com 1290327764@qq.com,杭州市,,,,意中人文化创意中心,,,意中人文化创意中心
371,亲近母语,qjmygongyi@qjmy.cn qjmyzp@126.com 360baike@360.cn service@ablesky.com,南京市,,,,亲近母语,,,亲近母语
372,云南电影集团北京影视策划分公司,,北京市,,,,云南电影集团北京影视策划分公司,,,云南电影集团北京影视策划分公司
376,睿资达,,上海市,15-50人,私企,其他,睿资达,http://www.r-smarter.com/,上海浦东新区浦建路145号强生大厦13F,睿资达http://www.r-smarter.com/上海浦东新区浦建路145号强生大厦13F
388,抹茶生活旗舰店,mochagushimall@sina.com viyaxie@zero2ipo.com.cn service@baicaowei.cn 768240301@qq.com 360baike@360.cn wangyishaoxing@163.com 51@3hk.cn yysp0026@zouin56.cn,杭州市,,,,抹茶生活旗舰店,,,抹茶生活旗舰店
390,杭州荷方青年旅舍管理有限公司,1587974264@qq.com,杭州市,15人以下,私企,其他,杭州荷方青年旅舍管理有限公司,杭州市上城区大井巷67号,,杭州荷方青年旅舍管理有限公司杭州市上城区大井巷67号
391,奥哲国际广告有限公司,service@makepolo.com wangna01986@163.com hr@admaimai.com tianlangya@126.com azgjgg@126.com wangna0227@hotmail.com 613111576@qq.com,北京市,50-150人,私企,电子商务,奥哲国际广告有限公司,http://www.admaimai.com,北京市南三环刘家窑桥东嘉业大厦二期2号楼1109室,奥哲国际广告有限公司http://www.admaimai.com北京市南三环刘家窑桥东嘉业大厦二期2号楼1109室
393,360UXC,,北京市,150-500人,私企,互联网,360UXC用户体验设计中心,http://uxc.360.cn/,北京市朝阳区酒仙桥路6号院,360UXC用户体验设计中心http://uxc.360.cn/北京市朝阳区酒仙桥路6号院
394,帝苑企业,13926784308@163.com gwbon_p0@58.com qqswsxgguyAGEP@58.com randyshen@diyuan.cc service@gsfunds.com.cn,福州市,2000人以上,私企,其他,福建帝苑投资有限公司,http://www.diyuan.cc,福建省福州市五四路9号宁德大厦8层,福建帝苑投资有限公司http://www.diyuan.cc福建省福州市五四路9号宁德大厦8层
395,Standard Codes,,上海市,50-150人,私企,其他,Standard Codes,http://www.standardcodes.com.cn,上海市仙霞路137号盛高国际大厦1206室(靠近娄山关路),Standard Codeshttp://www.standardcodes.com.cn上海市仙霞路137号盛高国际大厦1206室(靠近娄山关路)
408,聚思传媒,bmhr@brainmeidacn.com,北京市,50-150人,私企,广告,北京聚思传媒广告有限公司,http://www.brainmediacn.com,北京建国门外大街甲6号中环世贸大厦,北京聚思传媒广告有限公司http://www.brainmediacn.com北京建国门外大街甲6号中环世贸大厦
410,微拍,自己QQ号@qq.com 1139031431@qq.com service@kinghow.com.cn 65条评价为您推荐：198部微拍的婊视频2015打包微拍福利视频微拍怎么找福利国产萝莉115微拍邮箱ty89245518@163.com cooaocom@126.com yulula@foxmail.com 123456@maccms.com 360baike@360.cn viyaxie@zero2ipo.com.cn admin@taofulila.cc 940398081@qq.com 920248182@qq.com admin@mayiweipai.com,北京市,15人以下,私企,移动互联网,北京蝈蝈在线科技有限公司,http://e.weibo.com/aiweipai,北京朝阳区京汇大厦3层,北京蝈蝈在线科技有限公司http://e.weibo.com/aiweipai北京朝阳区京汇大厦3层
